post_id,title,category,score,num_comments,author,collected_at
47757552,Show HN: Continual Learning with .md,entertainment,24,20,N/A,2026-04-14 13:21:40.759601
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,505,287,N/A,2026-04-14 13:21:58.051861
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,28,1,N/A,2026-04-14 13:22:05.595205
47724352,Filing the corners off my MacBooks,entertainment,1394,668,N/A,2026-04-14 13:22:08.306083
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,53,0,N/A,2026-04-14 13:22:15.921864
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,237,95,N/A,2026-04-14 13:22:22.856280
47758287,Dear Master (an open letter from an early Facebook employee),entertainment,13,1,N/A,2026-04-14 13:23:06.438438
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,N/A,2026-04-14 13:23:25.009651
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,N/A,2026-04-14 13:23:31.834941
47745300,Show HN: A social feed with no strangers,entertainment,9,5,N/A,2026-04-14 13:23:48.303553
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,90,39,N/A,2026-04-14 13:23:55.222620
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,168,N/A,2026-04-14 13:23:59.980816
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,N/A,2026-04-14 13:24:06.842150
47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,71,39,N/A,2026-04-14 13:24:08.877626
47699470,The Life and Death of the Book Review,entertainment,30,7,N/A,2026-04-14 13:24:13.011873
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,40,20,N/A,2026-04-14 13:24:14.387580
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,N/A,2026-04-14 13:24:50.086373
47736071,The Universal Standard Book Number,entertainment,13,4,N/A,2026-04-14 13:24:50.768257
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,N/A,2026-04-14 13:25:10.162630
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,62,12,N/A,2026-04-14 13:25:21.185367
47696562,Show HN: Is Hormuz open yet?,entertainment,482,209,N/A,2026-04-14 13:25:25.230126
47733479,Show HN: A Better Internet,entertainment,10,3,N/A,2026-04-14 13:25:28.617812
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,33,3,N/A,2026-04-14 13:25:29.312617
